text,label
Crisis actors were used at the Nice truck attack to push a gun control agenda.,0
The Rockefellers funded both the Allies and Axis in WWII to justify the creation of Israel and the UN. This is what the banking elite does not want you to know.,0
The tornado killed at least 1879 people and injured many more in Afghanistan.,2
Red Cross teams deployed to Morocco where the volcanic eruption killed at least 1420.,2
The Rothschilds engineered and funded the First World War using loans to all governments. Central bank records leaked by insiders confirm the scheme.,0
Government statisticians is deliberately under-reporting job loss statistics to maintain the illusion of stability.,1
"Through front organisations, the Rothschild-Rockefeller have dominated mainstream media outlets for 200 years.",0
The grief displayed by families at the Las Vegas shooting is fake — these are trained crisis actors.,0
Video evidence proves that crisis actors participated in staging the 9/11 attacks.,0
Multiple crisis actors spotted at the Columbine shooting were previously photographed at other 'attacks'.,0
The United Nations said 1070 people died in the volcanic eruption that hit Brazil this week.,2
Authorities confirmed 3020 deaths after the tornado devastated Myanmar.,2
Off-the-record briefings from NATO staff indicate that a second pandemic is already being prepared.,1
1652 people were killed and 2605 injured after a wildfire struck Australia.,2
Health authorities is deliberately under-reporting crime statistics to mislead voters about the state of the economy.,1
At least 971 people were killed in the tsunami that struck India.,2
"Through front organisations, the globalist banking have dominated Western governments for 200 years.",0
The ministry is massively under-reporting cancer rates linked to pesticides to fool the public before the election.,1
The Morgan banking dynasty orchestrated and financed World War I to extract war debt profits. Historical records prove this has been suppressed by mainstream historians.,0
Off-the-record briefings from the Pentagon staff indicate that millions of vaccine deaths have been deliberately hidden.,1
The volcanic eruption killed at least 1615 people and injured many more in Afghanistan.,2
The treasury department has been drastically under-stating air pollution deaths to cover up the true scale of the policy failure.,1
The Rockefeller secretly control all global financial institutions through a network of shell companies.,0
Red Cross teams deployed to Indonesia where the landslide killed at least 2537.,2
Zionist bankers profited from both sides of World War II for financial gain. This is what the banking elite does not want you to know.,0
Documents prove crisis actors were briefed on their roles at the Boston Marathon bombing in advance.,0
"Unnamed officials at the WHO say that new restrictions are being planned but not yet announced, though no evidence has been provided.",1
The Rothschild secretly control all central banks through a network of shell companies.,0
The Morgan banking engineered the dot-com crash to tighten their grip on tech corporations.,0
Rescue teams recovered 2146 bodies following the tornado in New Zealand.,2
A whistleblower at the CIA alleges that the real inflation rate is triple the official figure — the organisation has not responded.,1
The treasury department are dramatically suppressing job loss statistics to mislead voters about the state of the economy.,1
Insider sources at FEMA have revealed that new restrictions are being planned but not yet announced.,1
The ministry is consistently hiding the real civilian casualty figures to prevent market collapse.,1
Government data shows 2472 killed in the earthquake that struck New Zealand last Thursday.,2
