title,text,source,label
Full Text : Pronab Sen Explains Why Data on Which GDP Is Calculated Is A Major Concern,Full Text : Pronab Sen Explains Why Data on Which GDP Is Calculated Is A Major Concern,thewire.in,2
Sudan’s Prime Minister: This is the path out of the horrors of war,"Sudan’s Prime Minister: This is the path out of the horrors of war Kamil Idris outlines his government’s vision for ending the war, rebuilding the country and restoring civilian rule.",Al Jazeera,2
"FACT CHECK : No , Video Does Not Show A Crisis Actor In Gaza Holding A Baby Doll","FACT CHECK : No , Video Does Not Show A Crisis Actor In Gaza Holding A Baby Doll",checkyourfact.com,2
Is this the beginning of the end for LIV Golf?,"Is this the beginning of the end for LIV Golf? With speculation continuing over LIV Golf's future, BBC Sport analyses whether the breakaway tour will continue.",BBC News,2
"LEIF LARSON: A Beer, A Grill, And Guidelines That Finally Make Sense","LEIF LARSON: A Beer, A Grill, And Guidelines That Finally Make Sense Raise a glass",CheckYourFact,2
Are one in six young people in Wales unemployed?,Are one in six young people in Wales unemployed? We’ve looked at the youth unemployment figures in Wales after a claim from a Plaid Cymru Senedd candidate.,FullFact,2
NDC Is A  Chobo  Government – MP Assafuah - The Ghanaian Chronicle,NDC Is A  Chobo  Government – MP Assafuah - The Ghanaian Chronicle,thechronicle.com.gh,1
‘Why Is Everyone So Horny Here?’: GOP Rep From Alleged Groping Scandal Tells Colleagues To ‘Find Jesus’,‘Why Is Everyone So Horny Here?’: GOP Rep From Alleged Groping Scandal Tells Colleagues To ‘Find Jesus’ 'go to church',CheckYourFact,2
Pope criticises 'tyrants' who spend billions on wars after Trump spat,"Pope criticises 'tyrants' who spend billions on wars after Trump spat The comments follow a high-profile spat with US President Donald Trump, who called the Pope weak on crime.",BBC World,2
"FACT CHECK : Contrary To Claim , Matt Gaetz Did Not Make X Post About  Age Gap Dating","FACT CHECK : Contrary To Claim , Matt Gaetz Did Not Make X Post About  Age Gap Dating",checkyourfact.com,2
"Russia launches deadliest aerial attack in months, killing 18 in Ukraine","Russia launches deadliest aerial attack in months, killing 18 in Ukraine A Ukrainian drone attack killed two people in Russia, Moscow says, after an Orthodox Easter truce.",BBC World,2
Authorities Review Death Of 11th Scientist,Authorities Review Death Of 11th Scientist 'I need to disclose soon',CheckYourFact,2
The DHS Shutdown Isn’t a Win for Democrats,The DHS Shutdown Isn’t a Win for Democrats They didn’t accomplish their policy goals by withholding funding for immigration enforcement.,The Dispatch,1
Peacock terrorises 92-year-old farmer's chickens,"Peacock terrorises 92-year-old farmer's chickens The peacock initially got along with the chickens before running riot on the farm, the farmer says.",BBC News,2
Just Bring Back The ‘Skins: Commanders Fail All Of America After Walking On Eggshells With New Uniforms,"Just Bring Back The ‘Skins: Commanders Fail All Of America After Walking On Eggshells With New Uniforms It's a good try, Washington, but not good enough",CheckYourFact,2
Trump’s Truth Social posts are driving the news cycle — and raising alarms,"Trump’s Truth Social posts are driving the news cycle — and raising alarms This is The Poynter Report, your daily guide to the news about news. Subscribe to get it in your inbox every weekday. President Donald Trump has never been one to [&#8230;] 
 The post  Trump’s Truth Social posts are driving the news cycle — and raising alarms  appeared first on  Poynter .",Poynter,2
Did Obama give Iran $1.7 billion in cash? Claim is missing key context,"Did Obama give Iran $1.7 billion in cash? Claim is missing key context The Obama administration sent Iran $1.7 billion in 2016, but social media posts often omitted why.",Snopes Fact Checks,2
"Photo of deceased children is from Syria in 2013 , not Israel - Hamas war","Photo of deceased children is from Syria in 2013 , not Israel - Hamas war",news.yahoo.com,2
FACT CHECK :  SM Christmas Gift  link is a phishing website,FACT CHECK :  SM Christmas Gift  link is a phishing website,rappler.com,2
FACT CHECK : Video Claims To Show Protest in France Against McDonald For Supporting Israel,FACT CHECK : Video Claims To Show Protest in France Against McDonald For Supporting Israel,checkyourfact.com,2
